Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit,Fuzzy chance of admit,Difference
366,330,114,4,4.5,3.0,9.17,1,0.86,0.89,0.030000000000000027
367,320,104,3,3.5,4.5,8.34,1,0.74,0.88,0.14
368,311,98,1,1.0,2.5,7.46,0,0.57,0.58,0.010000000000000009
369,298,92,1,2.0,2.0,7.88,0,0.51,0.65,0.14
370,301,98,1,2.0,3.0,8.03,1,0.67,0.65,0.020000000000000018
371,310,103,2,2.5,2.5,8.24,0,0.72,0.69,0.030000000000000027
372,324,110,3,3.5,3.0,9.22,1,0.89,0.89,0.0
373,336,119,4,4.5,4.0,9.62,1,0.95,0.89,0.05999999999999994
374,321,109,3,3.0,3.0,8.54,1,0.79,0.88,0.08999999999999997
375,315,105,2,2.0,2.5,7.65,0,0.39,0.56,0.17000000000000004
376,304,101,2,2.0,2.5,7.66,0,0.38,0.56,0.18000000000000005
377,297,96,2,2.5,2.0,7.43,0,0.34,0.56,0.22000000000000003
378,290,100,1,1.5,2.0,7.56,0,0.47,0.6,0.13
379,303,98,1,2.0,2.5,7.65,0,0.56,0.65,0.08999999999999997
380,311,99,1,2.5,3.0,8.43,1,0.71,0.73,0.020000000000000018
381,322,104,3,3.5,4.0,8.84,1,0.78,0.89,0.10999999999999999
382,319,105,3,3.0,3.5,8.67,1,0.73,0.88,0.15000000000000002
383,324,110,4,4.5,4.0,9.15,1,0.82,0.89,0.07000000000000006
384,300,100,3,3.0,3.5,8.26,0,0.62,0.87,0.25
385,340,113,4,5.0,5.0,9.74,1,0.96,0.89,0.06999999999999995
386,335,117,5,5.0,5.0,9.82,1,0.96,0.89,0.06999999999999995
387,302,101,2,2.5,3.5,7.96,0,0.46,0.68,0.22000000000000003
388,307,105,2,2.0,3.5,8.1,0,0.53,0.6,0.06999999999999995
389,296,97,2,1.5,2.0,7.8,0,0.49,0.52,0.030000000000000027
390,320,108,3,3.5,4.0,8.44,1,0.76,0.88,0.12
391,314,102,2,2.0,2.5,8.24,0,0.64,0.61,0.030000000000000027
392,318,106,3,2.0,3.0,8.65,0,0.71,0.63,0.07999999999999996
393,326,112,4,4.0,3.5,9.12,1,0.84,0.89,0.050000000000000044
394,317,104,2,3.0,3.0,8.76,0,0.77,0.88,0.10999999999999999
395,329,111,4,4.5,4.0,9.23,1,0.89,0.89,0.0
396,324,110,3,3.5,3.5,9.04,1,0.82,0.89,0.07000000000000006
397,325,107,3,3.0,3.5,9.11,1,0.84,0.89,0.050000000000000044
398,330,116,4,5.0,4.5,9.45,1,0.91,0.89,0.020000000000000018
399,312,103,3,3.5,4.0,8.78,0,0.67,0.88,0.20999999999999996
400,333,117,4,5.0,4.0,9.66,1,0.95,0.89,0.05999999999999994
